('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/numberOfLawyers', 'Anzahl Rechtsanwälte', 'number of lawyers')
('http://dbpedia.org/ontology/netIncome', 'Nettoergebnis ($)', 'net income ($)')
('http://dbpedia.org/ontology/operatingIncome', 'Betriebsergebnis ($)', 'operating income ($)')
('http://dbpedia.org/ontology/currentStatus', 'aktueller Status', 'current status')
('http://dbpedia.org/ontology/numberOfVehicles', 'Anzahl der Fahrzeuge', 'number of vehicles')
('http://dbpedia.org/ontology/trackLength', 'Streckenlänge (μ)', 'track length (μ)')
('http://dbpedia.org/ontology/legalForm', 'Rechtsform', 'legal form')
('http://dbpedia.org/ontology/typeOfElectrification', 'Art der Elektrifizierung', 'type of electrification')
('http://dbpedia.org/ontology/closingYear', 'Schließungsjahr', 'closing year')
('http://dbpedia.org/ontology/numberOfStations', 'Anzahl der Stationen', 'number of stations')
('http://dbpedia.org/ontology/openingDate', 'Eröffnungsdatum', 'opening date')
('http://dbpedia.org/ontology/openingYear', 'Eröffnungsjahr', 'opening year')
('http://dbpedia.org/ontology/occupation', 'Beschäftigung', 'occupation')
('http://dbpedia.org/ontology/averageSpeed', 'Durchschnittsgeschwindigkeit (kmh)', 'average speed (kmh)')
('http://dbpedia.org/ontology/topSpeed', 'Höchstgeschwindigkeit (kmh)', 'top speed (kmh)')
('http://dbpedia.org/ontology/railGauge', 'Spurweite Eisenbahn (μ)', 'rail gauge (μ)')
('http://dbpedia.org/ontology/voltageOfElectrification', 'Voltzahl der Elektrifizierung (V)', 'voltage of electrification (V)')
('http://dbpedia.org/ontology/founder', 'Gründer', 'founder')
('http://dbpedia.org/ontology/birthDate', 'Geburtsdatum', 'birth date')
('http://dbpedia.org/ontology/birthYear', 'Geburtsjahr', 'birth year')
('http://dbpedia.org/ontology/spouse', 'Ehepartner', 'spouse')
('http://dbpedia.org/ontology/slogan', 'Slogan', 'slogan')
('http://dbpedia.org/ontology/firstAirDate', 'Sendebeginn', 'first air date')
('http://dbpedia.org/ontology/motto', 'Motto', 'motto')
('http://dbpedia.org/ontology/language', 'Sprache', 'language')
('http://dbpedia.org/ontology/tradingName', 'Handelsname', 'trading name')
('http://dbpedia.org/ontology/production', 'Produktion', 'production')
('http://dbpedia.org/ontology/format', 'Format', 'format (object)')
('http://dbpedia.org/ontology/chiefEditor', 'Chefredakteur', 'chief editor')
('http://dbpedia.org/ontology/budget', 'Etat ($)', 'budget ($)')
('http://dbpedia.org/ontology/leader', 'Führer', 'leader')
('http://dbpedia.org/ontology/jurisdiction', 'Zuständigkeit', 'jurisdiction')
('http://dbpedia.org/ontology/address', 'Adresse', 'address')
('http://dbpedia.org/ontology/city', 'Stadt', 'city')
('http://dbpedia.org/ontology/foundationPlace', 'Gründungsort', 'foundation place')
('http://dbpedia.org/ontology/numberOfStudents', 'Zahl der Studierenden', 'number of students')
('http://dbpedia.org/ontology/state', 'Staat', 'state')
('http://dbpedia.org/ontology/officialSchoolColour', 'offizielle Schulfarbe', 'official school colour')
('http://dbpedia.org/ontology/province', 'Provinz', 'province')
('http://dbpedia.org/ontology/numberOfVolunteers', 'Anzahl der Freiwilligen', 'number of volunteers')
('http://dbpedia.org/ontology/startDate', 'Startdatum', 'start date')
('http://dbpedia.org/ontology/populationTotal', 'Einwohnerzahl', 'population total')
('http://dbpedia.org/ontology/postalCode', 'Postleitzahl', 'postal code')
('http://dbpedia.org/ontology/borough', 'Bezirk', 'borough')
('http://dbpedia.org/ontology/ceo', 'Geschäftsführer', 'chief executive officer')
('http://dbpedia.org/ontology/publisher', 'Herausgeber', 'publisher')
('http://dbpedia.org/ontology/writer', 'schriftsteller', 'writer')
('http://dbpedia.org/ontology/seatingCapacity', 'Sitzplatzkapazität', 'seating capacity')
('http://dbpedia.org/ontology/endDate', 'Enddatum', 'end date')
('http://dbpedia.org/ontology/broadcastArea', 'Empfangsgebiet', 'broadcast area')
('http://dbpedia.org/ontology/knownFor', 'bekannt für', 'known for')
('http://dbpedia.org/ontology/nationality', 'Nationalität', 'nationality')
('http://dbpedia.org/ontology/alternativeName', 'alternativer Name', 'alternative name')
('http://dbpedia.org/ontology/architect', 'Architekt', 'architect')
('http://dbpedia.org/ontology/map', 'Landkarte', 'map')
('http://dbpedia.org/ontology/academicDiscipline', 'wissenschaftliche Disziplin', 'academic discipline')
('http://dbpedia.org/ontology/institution', 'Institution', 'institution')
('http://dbpedia.org/ontology/doctoralAdvisor', 'Doktorvater', 'doctoral advisor')
('http://dbpedia.org/ontology/status', 'Status', 'status')
('http://dbpedia.org/ontology/runtime', 'Laufzeit (s)', 'runtime (s)')
('http://dbpedia.org/ontology/author', 'autor', 'author')
('http://dbpedia.org/ontology/producer', 'Produzent', 'producer')
('http://dbpedia.org/ontology/productionCompany', 'Produktionsfirma', 'production company')
('http://dbpedia.org/ontology/Work/runtime', 'Laufzeit (m)', 'runtime (m)')
('http://dbpedia.org/ontology/birthPlace', 'Geburtsort', 'birth place')
('http://dbpedia.org/ontology/party', 'Partei', 'party')
('http://dbpedia.org/ontology/electionDateLeader', 'Wahldatum des Vorsitzenden', 'election date leader')
('http://dbpedia.org/ontology/legislativePeriodName', 'Name in der Legislaturperiode', 'legislative period name')
('http://dbpedia.org/ontology/politicalPartyInLegislature', 'politische Partei in der Legislative', 'political party in legislature')
('http://dbpedia.org/ontology/politicalPartyOfLeader', 'politische Partei des Vorsitzenden', 'political party of leader')
('http://dbpedia.org/ontology/birthName', 'Geburtsname', 'birth name')
('http://dbpedia.org/ontology/developer', 'Entwickler', 'developer')
('http://dbpedia.org/ontology/operatingSystem', 'Betriebssystem', 'operating system')
('http://dbpedia.org/ontology/license', 'Lizenz', 'license')
('http://dbpedia.org/ontology/pictureFormat', 'Bildformat', 'picture format')
('http://dbpedia.org/ontology/area', 'Fläche (m2)', 'area (m2)')
('http://dbpedia.org/ontology/yearOfConstruction', 'Baujahr', 'year of construction')
('http://dbpedia.org/ontology/education', 'Bildung', 'education')
('http://dbpedia.org/ontology/numberOfStaff', 'Personalbestand', 'number of staff')
('http://dbpedia.org/ontology/commander', 'Befehlshaber', 'commander')
('http://dbpedia.org/ontology/digitalChannel', 'Digitalkanal', 'digital channel')
('http://dbpedia.org/ontology/employer', 'Arbeitgeber', 'employer')
('http://dbpedia.org/ontology/abbreviation', 'Abkürzung', 'abbreviation')
('http://dbpedia.org/ontology/membership', 'Mitgliedschaft', 'membership')
('http://dbpedia.org/ontology/child', 'Kind', 'child')
('http://dbpedia.org/ontology/hometown', 'Heimatort', 'home town')
('http://dbpedia.org/ontology/commandStructure', 'Kommandostruktur', 'command structure')
('http://dbpedia.org/ontology/garrison', 'Garnison', 'garrison')
('http://dbpedia.org/ontology/isoCodeRegion', 'ISO-Ländercode', 'ISO region code')
('http://dbpedia.org/ontology/politicalLeader', 'politischer Führer', 'political leader')
('http://dbpedia.org/ontology/deathPlace', 'Sterbeort', 'death place')
('http://dbpedia.org/ontology/deathDate', 'Sterbedatum', 'death date')
('http://dbpedia.org/ontology/deathYear', 'Sterbejahr', 'death year')
('http://dbpedia.org/ontology/restingPlace', 'Ruhestätte', 'resting place')
('http://dbpedia.org/ontology/title', 'Titel', 'title')
('http://dbpedia.org/ontology/diocese', 'Diözese', 'diocese')
('http://dbpedia.org/ontology/editor', 'Herausgeber', 'editor')
('http://dbpedia.org/ontology/compressionRatio', 'Kompressionsverhältnis', 'compression ratio')
('http://dbpedia.org/ontology/valvetrain', 'Ventilsteuerung', 'valvetrain')
('http://dbpedia.org/ontology/configuration', 'Konfiguration', 'configuration')
('http://dbpedia.org/ontology/powerOutput', 'Ausgangsleistung (W)', 'power output (W)')
('http://dbpedia.org/ontology/manufacturer', 'Hersteller', 'manufacturer')
('http://dbpedia.org/ontology/fuelSystem', 'Kraftstoffsystem', 'fuel system')
('http://dbpedia.org/ontology/coolingSystem', 'Kühlsystem', 'cooling system')
('http://dbpedia.org/ontology/Engine/powerOutput', 'Ausgangsleistung (kW)', 'power output (kW)')
('http://dbpedia.org/ontology/assembly', 'Montage', 'assembly')
('http://dbpedia.org/ontology/cost', 'Kosten ($)', 'cost ($)')
('http://dbpedia.org/ontology/tenant', 'Mieter', 'tenant')
