Title,Categories
Frank Lüdecke,"['Kabarettist (Deutschland)', 'Theaterschauspieler', 'Synchronsprecher', 'Deutscher', 'Geboren 1944', 'Mann']"
Wilhelm Friedrich von Starck,"['Generalmajor', 'Militärperson (Hessen)', 'Mitglied der kurhessischen Ständeversammlung', 'Adliger', 'Deutscher', 'Geboren 1790', 'Gestorben 1864', 'Mann']"
Eitelhans Langenmantel,"['Maurer', 'Person (Täuferbewegung)', 'Person des Christentums (Augsburg)', 'Geboren im 15. oder 16. Jahrhundert', 'Gestorben im 16. Jahrhundert', 'Mann']"
Helmut Kießling,"['Komponist (Deutschland)', 'Deutscher', 'Geboren 1918', 'Gestorben 1969', 'Mann']"
Christoph Krummacher,"['Kirchenmusiker (Leipzig)', 'Klassischer Organist', 'Deutscher', 'DDR-Bürger', 'Geboren 1979', 'Mann']"
Matthäuskirche (Zürich-Unterstrass),"['Maler (Zürich)', 'Illustrator (Schweiz)', 'Glasmaler (Schweiz)', 'Grafiker (Zürich)', 'Teilnehmer einer Biennale di Venezia', 'Person (Zürich)', 'Schweizer', 'Geboren 1901', 'Gestorben 1976', 'Mann']"
Daniel Straub,"['Unternehmer (Württemberg)', 'Unternehmer (19. Jahrhundert)', 'Industrieller', 'Maschinenbauingenieur', 'Angehöriger des Fünferbundes', 'Corpsstudent (19. Jahrhundert)', 'Württemberger', 'Deutscher', 'Geboren 1838', 'Gestorben 1876', 'Mann']"
Jakob Samuel Johann Scheuermann,"['Kupferstecher (Schweiz)', 'Grafiker (Schweiz)', 'Schweizer', 'Geboren 1770', 'Gestorben 1844', 'Mann']"
Julius Hübner (Schauspieler),"['Deutscher', 'Burgschauspieler', 'Darstellender Künstler (Hamburg)', 'Darstellender Künstler (Augsburg)', 'Geboren 1839', 'Gestorben 1878', 'Mann']"
Werner Starke (Jurist),"['Jurist in der Frühen Neuzeit', 'Person des Hansekontors in Bergen', 'Ratssekretär (Lübeck)', 'Deutscher', 'Geboren im 16. Jahrhundert', 'Gestorben 1584', 'Mann']"
Institut für wirtschaftswissenschaftliche Forschung,"['CDU-Mitglied (DDR)', 'Mitglied der Christlichen Friedenskonferenz', 'Publizist', 'Person (Ministerium für Staatssicherheit)', 'Mitglied der Stadtverordnetenversammlung von Berlin (DDR)', 'Träger des Vaterländischen Verdienstordens in Gold', 'Träger der Johannes-R.-Becher-Medaille', 'Ehrendoktor der Comenius-Universität Bratislava', 'Funktionär des Kulturbundes der DDR', 'Chefredakteur', 'Person des Christentums (DDR)', 'DDR-Bürger', 'Deutscher', 'Geboren 1929', 'Gestorben 2009', 'Mann']"
Nikolaus Stark,"['Mediziner (20. Jahrhundert)', 'Mediziner (21. Jahrhundert)', 'Pharmakologe', 'Hochschullehrer (Albert-Ludwigs-Universität Freiburg)', 'Mitglied der Leopoldina (20. Jahrhundert)', 'Mitglied der Heidelberger Akademie der Wissenschaften', 'Mitglied der Academia Europaea', 'Deutscher', 'Geboren 1937', 'Mann']"
Alfred Kiss,"['Gewerkschafter (Deutschland)', 'SPD-Mitglied', 'Deutscher', 'Geboren 1894', 'Gestorben im 20. oder 21. Jahrhundert', 'Mann']"
Reinhold Kißling,"['Landwirt (Deutschland)', 'Landsmannschafter', 'Träger des Großen Bundesverdienstkreuzes', 'Träger der Staufermedaille', 'Ehrensenator der Universität Hohenheim', 'Person (Gaildorf)', 'Deutscher', 'Geboren 1926', 'Gestorben 2021', 'Mann']"
Rolf E. Straub,"['Autor', 'Deutscher', 'Restaurator', 'Hochschullehrer (Staatliche Akademie der Bildenden Künste Stuttgart)', 'Person (Staatliche Akademie der Bildenden Künste Stuttgart)', 'Geboren 1920', 'Gestorben 2011', 'Mann']"
Klaus König (Kameramann),"['Kameramann', 'Filmregisseur', 'Person (Film, Berlin)', 'Deutscher', 'Geboren 1935', 'Gestorben 2020', 'Mann']"
Gotthelf Wilhelm Christoph Starke,"['Autor', 'Pädagoge (18. Jahrhundert)', 'Reformierter Theologe (18. Jahrhundert)', 'Reformierter Theologe (19. Jahrhundert)', 'Kirchenlieddichter', 'Person des Christentums (Anhalt)', 'Deutscher', 'Geboren 1762', 'Gestorben 1830', 'Mann']"
Hellmuth Mueller-Leutert,"['Maler (Deutschland)', 'Corpsstudent (20. Jahrhundert)', 'Person (Gießen)', 'Deutscher', 'Geboren 1892', 'Gestorben 1973', 'Mann']"
Carlos Kis,"['Maler (Uruguay)', 'Grafiker (Uruguay)', 'Bildhauer (Uruguay)', 'Maler des Muralismo', 'Uruguayer', 'Geboren 1932', 'Gestorben 2010', 'Mann']"
Dierk Henning Schnitzler,"['Gestapo-Personal', 'Jurist in der Polizeiverwaltung', 'Zentrum-Mitglied', 'NSDAP-Mitglied', 'Korporierter im CV', 'Deutscher', 'Geboren 1901', 'Gestorben 1962', 'Mann']"
Franz Sebastian Nonhardt,"['Person (Mordfall)', 'Lutherischer Geistlicher (18. Jahrhundert)', 'Lutherischer Geistlicher (Dresden)', 'Deutscher', 'Geboren 1679', 'Gestorben 1726', 'Mann', 'Absolvent der Universität Leipzig']"
Kölner Autorenwerkstatt,"['Autor', 'Literatur (21. Jahrhundert)', 'Literatur (Deutsch)', 'Lyrik', 'Roman, Epik', 'Erzählung', 'Hörspielautor', 'Übersetzer aus dem Französischen', 'Übersetzer aus dem Georgischen', 'Übersetzer aus dem Katalanischen', 'Übersetzer aus dem Spanischen', 'Übersetzer ins Deutsche', 'Verlagslektor', 'Schriftsteller (Köln)', 'Theaterregisseur', 'Filmregisseur', 'Mitglied im PEN-Zentrum Deutschland', 'Deutscher', 'Geboren 1965', 'Frau']"
Hans Helmut Straub,"['Filmschauspieler', 'Theaterschauspieler', 'Deutscher', 'Geboren 1941', 'Mann']"
Rudolf Stark (Politiker),"['Träger des Goldenen Ehrenzeichens für Verdienste um das Land Wien', 'Landtagsabgeordneter (Wien)', 'FPÖ-Mitglied', 'Burschenschafter (20. Jahrhundert)', 'Österreicher', 'Geboren 1948', 'Mann']"
Heinrich von Burgeis,"['Autor', 'Literatur (13. Jahrhundert)', 'Christliche Literatur', 'Historische Person (Südliches Tirol)', 'Geboren im 12. oder 13. Jahrhundert', 'Gestorben im 13. oder 14. Jahrhundert', 'Mann']"
Georg Conrad Kißling,"['Major (Heer der Wehrmacht)', 'Widerstandskämpfer des 20. Juli 1944', 'NS-Opfer', 'Deutscher', 'Geboren 1893', 'Gestorben 1944', 'Mann']"
Linda Stark,"['Sänger', 'Musicaldarsteller', 'Deutscher', 'Geboren 1988', 'Frau']"
Alexander Schoeller,"['Industrieller', 'Unternehmer (19. Jahrhundert)', 'Unternehmer (20. Jahrhundert)', 'Ethnologe', 'Autor', 'Aufsichtsratsvorsitzender (Deutschland)', 'Afrikaforscher', 'Träger des Eisernen Kreuzes II. Klasse', 'Träger des Roten Adlerordens 4. Klasse', 'Träger des Friedrichs-Ordens (Ritter)', 'Träger des Ordens der Eisernen Krone (III. Klasse)', 'Träger des Herzoglich Sachsen-Ernestinischen Hausordens (Ritter II. Klasse)', 'Träger des Mecidiye-Ordens', 'Träger des Erlöser-Ordens (Ritter)', 'Träger des Ordens der Krone von Italien (Offizier)', 'Corpsstudent (19. Jahrhundert)', 'Mitglied der Unternehmerfamilie Schoeller|Max', 'Deutscher', 'Geboren 1865', 'Gestorben 1943', 'Mann']"
Richard Thalmann,"['Römisch-katholischer Theologe (20. Jahrhundert)', 'Römisch-katholischer Studentenpfarrer', 'Schweizer', 'Geboren 1915', 'Gestorben 2002', 'Mann']"
Niklaus Starck,"['Sachbuchautor (Essen und Trinken)', 'Person (Kanton Tessin)', 'Autor', 'Schweizer', 'Geboren 1956', 'Mann', 'Motorjournalist']"
Hermann H. Hahn,"['Hochschullehrer (Karlsruher Institut für Technologie)', 'Mitglied der Deutschen Akademie der Technikwissenschaften (acatech)', 'Mitglied der Heidelberger Akademie der Wissenschaften', 'Träger des Bundesverdienstkreuzes 1. Klasse', 'Ehrensenator einer Universität', 'Deutscher', 'Geboren 1940', 'Mann']"
Artur Weinmann,"['Person, für die ein Stolperstein verlegt wurde (Köln)]] umbenannt in [[Kategorie:Person, für die in Köln ein Stolperstein verlegt wurde]]: laut [[Kategorie Diskussion:Person, für die ein Stolperstein verlegt wurde#Unterkategorien besser ohne Klammern|Diskussion', 'Rechtswissenschaftler (20. Jahrhundert)', 'Richter (Landgericht)', 'Häftling im Durchgangsghetto Izbica', 'Opfer des Holocaust', 'Person, für die in Köln ein Stolperstein verlegt wurde', 'Person des Judentums (Nordrhein-Westfalen)', 'Deutscher', 'Geboren 1883', 'Gestorben im 20. Jahrhundert', 'Mann']"
Alois Scheffler,"['Träger der DFB-Verdienstnadel', 'Deutscher', 'Geboren 1915', 'Gestorben 2014', 'Mann', 'Fußballfunktionär (Deutschland)']"
Jochim Wernecke,"['Bildhauer (Deutschland)', 'Bildhauer (Lübeck)', 'Lübecker Marienkirche', 'Geboren im 16. Jahrhundert', 'Gestorben 1604', 'Mann']"
Claus Jacobi (Politiker),"['Bürgermeister (Gevelsberg)', 'SPD-Mitglied', 'Deutscher', 'Geboren 1971', 'Mann']"
Max Schoeller,"['Textilunternehmer (19. Jahrhundert)', 'Geheimer Kommerzienrat', 'Unternehmer (Düren)', 'Mitglied der Unternehmerfamilie Schoeller|Leopold', 'Deutscher', 'Geboren 1792', 'Gestorben 1884', 'Mann']"
Roman Schäffler,"['Abt (Metten)', 'Römisch-katholischer Geistlicher (17. Jahrhundert)', 'Geboren 1632', 'Gestorben 1686', 'Mann']"
Joseph Franz Xaver Stark,"['Maler (Österreich)', 'Historienmaler', 'Kunstpädagoge', 'Person (Graz)', 'Person (Habsburgermonarchie vor 1804)', 'Person (Kaisertum Österreich)', 'Geboren 1782', 'Gestorben 1838', 'Mann']"
Schott von Schottenstein,"['Amtmann (Fürstentum Bayreuth)', 'Reichsritter', 'Schott von Schottenstein|Konrad', 'Deutscher', 'Geboren im 15. Jahrhundert', 'Gestorben 1526', 'Mann']"
Ulrich Stadtmüller,"['Finanzmathematiker', 'Mathematiker (20. Jahrhundert)', 'Mathematiker (21. Jahrhundert)', 'Hochschullehrer (Universität Duisburg-Essen, Campus Essen)', 'Hochschullehrer (Universität Ulm)', 'Hochschullehrer (Universität London)', 'Deutscher', 'Geboren 1962', 'Mann']"
Georg Sperber (Politiker),"['Reichstagsabgeordneter (Deutsches Reich, 1933–1945)', 'Mitglied des Bayerischen Landtags in der Weimarer Republik', 'Bürgermeister (Landkreis Nürnberger Land)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Person (Hersbruck)', 'Freikorps-Mitglied', 'NSDAP-Mitglied', 'SA-Mitglied', 'Deutscher', 'Geboren 1897', 'Gestorben 1943', 'Mann']"
Günter Dietz (Drucker),"['Unternehmer (20. Jahrhundert)', 'Erfinder', 'Deutscher', 'Geboren 1919', 'Gestorben 1995', 'Mann']"
Martin Kissel,"['Person (Dahn)', 'Autor', 'Deutscher', 'Geboren 1958', 'Mann']"
Eduard Schnitzler,"['Mitglied der Bankiersfamilie Schnitzler|Richard', 'Bankier', 'Unternehmer (19. Jahrhundert)', 'Unternehmer (20. Jahrhundert)', 'Unternehmer (Deutschland)', 'Industrieller', 'Person (I.G. Farben)', 'Mäzen', 'Corpsstudent (19. Jahrhundert)', 'Deutscher', 'Geboren 1855', 'Gestorben 1938', 'Mann']"
Pensionsfonds (Deutschland),"['Klassischer Cellist', 'Gewandhausmusiker', 'Musiker (Leipzig)', 'Person (Leipzig)', 'Deutscher', 'Geboren 1866', 'Gestorben 1930', 'Mann']"
Gustav Schiefler,"['Richter (Landgericht Hamburg)', 'Richter (Amtsgericht)', 'Kunstkritiker', 'Kunstsammler', 'Person (Hamburg)', 'Deutscher', 'Geboren 1857', 'Gestorben 1935', 'Mann']"
Dominique Stark,"['Radsportler (Schweiz)', 'Schweizer Meister (Radsport)', 'Bahnradfahrer', 'Schweizer', 'Geboren 1988', 'Mann']"
Wilhelm Ruppert,"['Unternehmer (20. Jahrhundert)', 'Erfinder', 'Ehrensenator des Karlsruher Instituts für Technologie', 'Komtur (Ritterorden vom Heiligen Grab zu Jerusalem)]] &lt;!-- [[Kategorie:Träger des Bundesverdienstkreuzes 1. Klasse', 'Deutscher', 'Geboren 1888', 'Gestorben 1965', 'Mann']"
Emil Kiesel,"['Römisch-katholischer Geistlicher (20. Jahrhundert)', 'Römisch-katholischer Geistlicher (Erzbistum Freiburg)', 'Römisch-katholische Kirche im Deutschen Reich 1933–1945', 'Korporierter im UV', 'Person (Widerstand gegen den Nationalsozialismus)', 'Häftling im KZ Dachau', 'Person (Pforzheim)', 'Deutscher', 'Geboren 1910', 'Gestorben 1990', 'Mann']"
Josef Maria Boehm,"['Raumfahrtingenieur', 'Person (V-Waffen-Programm)', 'Deutscher Emigrant in den Vereinigten Staaten', 'Österreichischer Emigrant in den Vereinigten Staaten', 'Österreicher', 'Deutscher', 'Geboren 1908', 'Gestorben 1973', 'Mann']"
Emil Victor von Sperber,"['Reichstagsabgeordneter (Deutsches Kaiserreich)', 'Mitglied der Deutschkonservativen Partei', 'Ehrenritter (Johanniterorden)', 'Person im Deutsch-Französischen Krieg', 'Kavallerist (Preußen)', 'Nobilitierter (Preußen)', 'Deutscher', 'Geboren 1848', 'Gestorben 1903', 'Mann']"
Peter Weber-Schäfer,"['Politikwissenschaftler', 'Hochschullehrer (Ruhr-Universität Bochum)', 'Übersetzer aus dem Chinesischen', 'Übersetzer aus dem Englischen', 'Übersetzer ins Deutsche', 'Deutscher', 'Geboren 1935', 'Gestorben 2019', 'Mann']"
Franz Alexander Kaufmann,"['Landtagsabgeordneter (Preußen)]] umbenannt in [[Kategorie:Mitglied des Preußischen Landtags (Freistaat Preußen)]]: laut [[PD:Politik#Preußische Parlamentarier', 'Mitglied des Preußischen Landtags (Freistaat Preußen)', 'DNVP-Mitglied', 'Deutscher', 'Geboren 1863', 'Gestorben 1932', 'Mann']"
Julius Schlichting,"['Wasserbauingenieur', 'Hochschullehrer (Technische Universität Berlin)', 'Rektor einer Universität in Deutschland', 'Träger des Roten Adlerordens 3. Klasse', 'Deutscher', 'Geboren 1848', 'Gestorben 1919', 'Mann']"
Edith Dietz,"['Judentum in Bad Ems', 'Person (Bad Ems)', 'NS-Opfer', 'Träger des Bundesverdienstkreuzes am Bande', 'Person (Karlsruhe)', 'Autor', 'Zeitzeuge des Holocaust', 'Literatur (Deutsch)', 'Deutscher', 'Geboren 1921', 'Gestorben 2015', 'Frau']"
Gall Fischer,"['Maurer', 'Person (Täuferbewegung)', 'Person des Christentums (Augsburg)', 'Geboren im 15. oder 16. Jahrhundert', 'Gestorben im 16. Jahrhundert', 'Mann']"
Barbara Josepha Scheuermann,"['Autor', 'Deutscher', 'Geboren 1975', 'Frau']"
Clemens von Ramin,"['Filmschauspieler', 'Synchronsprecher', 'Deutscher', 'Geboren 1967', 'Mann']"
Heinz Angermeier,"['Landeshistoriker (Bayern)', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Träger des Bayerischen Verdienstordens', 'Träger der Bayerischen Verfassungsmedaille in Gold', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Korporierter im CV', 'Deutscher', 'Geboren 1894', 'Gestorben 1986', 'Mann']"
Wilhelm Scheffler,"['Person, für die im Bezirk Mitte ein Stolperstein verlegt wurde', 'Mitglied der Stadtverordnetenversammlung (Berlin)', 'Kommunalpolitiker (Berlin)', 'KPD-Funktionär', 'Person im Antimilitärischen Apparat', 'Rotfrontkämpfer', 'USPD-Mitglied', 'Gewerkschafter (Deutschland)', 'Betriebsrat', 'Person (Widerstand gegen den Nationalsozialismus)', 'Deutscher', 'Geboren 1893', 'Gestorben 1933', 'Mann', 'Person, für die im Bezirk Mitte ein Stolperstein verlegt wurde']"
Johann Loschek,"['Sänger', 'Rudolf von Österreich-Ungarn', 'Musiker (Wien)', 'Wienerlied', 'Person (Cisleithanien)', 'Geboren 1847', 'Gestorben 1892', 'Mann']"
Richard Scheffler,"['Architekt (Heilbronn)', 'Deutscher', 'Geboren 1891', 'Gestorben 1973', 'Mann']"
Ursula Reinhardt-Kiss,"['Opernsänger', 'Sopran', 'Koloratursopran', 'Deutscher', 'Geboren 1938', 'Frau']"
Forum Ost-West,"['Kolumnist', 'Publizist', 'Sachbuchautor', 'Journalist (Schweiz)', 'Chefredakteur', 'Schweizer', 'Geboren 1936', 'Mann']"
Carrie Schreiner,"['Rennfahrer (Deutschland)', 'Deutscher', 'Geboren 1998', 'Frau']"
Hermann Kissling,"['Kunsthistoriker', 'Sachbuchautor (Kunst)', 'Person (Schwäbisch Gmünd)', 'Hochschullehrer (PH Schwäbisch Gmünd)', 'Lehrer', 'Absolvent der Eberhard Karls Universität Tübingen', 'Deutscher', 'Geboren 1925', 'Gestorben 2018', 'Mann']"
"Hermann Hahn (Fußballspieler, 1907)","['Fußballspieler (VfB Stuttgart)', 'Fußballspieler (Sportfreunde Stuttgart)', 'Deutscher', 'Geboren 1907', 'Gestorben im 20. oder 21. Jahrhundert', 'Mann']"
Hans Lenk (Geologe),"['Geologe (20. Jahrhundert)', 'Hochschullehrer (Friedrich-Alexander-Universität Erlangen-Nürnberg)', 'Deutscher', 'Geboren 1908', 'Gestorben 1980', 'Mann']"
Deutscher Wissenschafter-Verband,"['Oberstudiendirektor', 'Person (Ostpreußen)', 'Lehrer', 'Historiker', 'Hochschullehrer (Albertus-Universität Königsberg)', 'Hochschullehrer (Universität Hamburg)', 'Herausgeber', 'Mitglied der Historischen Kommission für ost- und westpreußische Landesforschung', 'Ehrenmitglied einer wissenschaftlichen Organisation', 'Träger des Bundesverdienstkreuzes am Bande', 'Deutscher', 'Geboren 1879', 'Gestorben 1957', 'Mann', 'Oberstudiendirektor']"
Hans-Werner Gyßling,"['Filmschauspieler', 'Theaterschauspieler', 'Hörspielsprecher', 'Synchronsprecher', 'Sänger', 'Deutscher', 'Geboren 1904', 'Gestorben 1997', 'Frau']"
Max Hunziker,"['Bildender Künstler (Basel)]]; −[[Kategorie:Person (Basel)]]; ±[[Kategorie:Maler (Schweiz)]]→[[Kategorie:Maler (Basel)', 'Maler (Basel)', 'Glasmaler (Schweiz)', 'Teilnehmer einer Biennale di Venezia', 'Schweizer', 'Geboren 1896', 'Gestorben 1983', 'Mann']"
Wolfgang Kaes,"['Person (General-Anzeiger, Bonn)', 'Zeitungsjournalist', 'Autor', 'Literatur (21. Jahrhundert)', 'Literatur (Deutsch)', 'Kriminalliteratur', 'Journalist (Deutschland)', 'Träger des Nannen Preises', 'Person (Mayen)', 'Deutscher', 'Geboren 1958', 'Mann', 'Schriftsteller (Bonn)']"
Gustav Adolph von Schoeller,"['Industrieller', 'Unternehmer (Montanindustrie)', 'Unternehmer (Österreich-Ungarn)', 'Mitglied des Herrenhauses (Österreich)', 'Träger des Franz-Joseph-Ordens (Großkreuz)', 'K.u.k. Hoflieferant', 'Geheimrat', 'Mitglied der Unternehmerfamilie Schoeller|Paul Eduard', 'Person (Österreich-Ungarn)', 'Österreicher', 'Geboren 1853', 'Gestorben 1920', 'Mann']"
Lilly Scheuermann,"['Tänzer]]; Ergänze [[Kategorie:Balletttänzer (Österreich)', 'Balletttänzer (Österreich)', 'Österreicher', 'Geboren 1945', 'Frau']"
Rudolf Weinmann,"['Mann', 'Deutscher', 'Person der Arbeiterbewegung (Deutschland)', 'Person (Widerstand gegen den Nationalsozialismus)', 'Geboren 1915', 'Gestorben 2004', 'Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus']"
Ed Sperber,"['Jazz-Saxophonist', 'Jazz-Klarinettist', 'Jazz-Flötist', 'Bigband-Leader', 'Hochschullehrer (HfM Würzburg)', 'Person (Schweinfurt)', 'Musiker (Deutschland)', 'Deutscher', 'Geboren 1937', 'Mann']"
Armee (Deutsches Kaiserreich),"['Generalleutnant (Luftwaffe der Wehrmacht)', 'Oberleutnant (Bayern)', 'Hauptmann (Reichswehr)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Träger des Bayerischen Militärverdienstordens (IV. Klasse)', 'Träger des Eisernen Kreuzes I. Klasse', 'Freikorps-Mitglied', 'Person im Zweiten Weltkrieg (Deutsches Reich)', 'Träger des Deutschen Kreuzes in Gold', 'Braunschweigische Geschichte (Zeit des Nationalsozialismus)', 'Deutscher', 'Geboren 1894', 'Gestorben 1979', 'Mann']"
Marco Schöller,"['Islamwissenschaftler', 'Hochschullehrer (Westfälische Wilhelms-Universität)', 'Hochschullehrer (Universität zu Köln)', 'Deutscher', 'Geboren 1968', 'Mann']"
Hanns Kreutz,"['Agrarwissenschaftler (20. Jahrhundert)', 'Pflanzenbauwissenschaftler', 'Pflanzenzüchter', 'Hochschullehrer (Technische Universität München)', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1875', 'Gestorben 1942', 'Mann']"
Karl Prinz zu Löwenstein-Wertheim-Rosenberg,"['Wirtschaftsingenieur', 'Ritter des Malteserordens', 'Person (Malteser Hilfsdienst)', 'Familienmitglied des Adelsgeschlechts Löwenstein-Wertheim (Linie Rosenberg)|Karl', 'Deutscher', 'Geboren 1952', 'Mann']"
Leopold Schoeller,"['Textilunternehmer (19. Jahrhundert)', 'Mitglied des Preußischen Abgeordnetenhauses', 'Konsul', 'Unternehmer (Breslau)', 'Person (Zürich)', 'Mitglied der Unternehmerfamilie Schoeller|Rudolf Wilhelm', 'Deutscher', 'Geboren 1827', 'Gestorben 1902', 'Mann']"
Liselotte Schreiner,"['Stummfilmschauspieler', 'Theaterschauspieler', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1869', 'Gestorben 1931', 'Mann']"
Klaus Schreiner (Museologe),"['Wissenschaftlicher Mitarbeiter eines Museums in Deutschland]]; Ergänze [[Kategorie:Wissenschaftlicher Mitarbeiter eines Museums in Mecklenburg-Vorpommern', 'Historiker', 'Museologe', 'Wissenschaftlicher Mitarbeiter eines Museums in Mecklenburg-Vorpommern', 'DDR-Bürger', 'Deutscher', 'Geboren 1929', 'Mann', 'Gestorben 1991']"
Leopold Ludwig Müller,"['Maler (Deutschland)', 'Deutscher', 'Geboren 1768', 'Gestorben 1839', 'Mann']"
