Title,Categories
Philipp Dietz,"['Mitglied des Provinziallandtages der Provinz Hessen-Nassau', 'Mitglied des Kurhessischen Kommunallandtags', 'Pädagoge (19. Jahrhundert)', 'Deutscher', 'Geboren 1834', 'Gestorben 1910', 'Mann']"
Otto Regenbogen (Tiermediziner),"['Tierarzt', 'Mediziner (19. Jahrhundert)', 'Mediziner (20. Jahrhundert)', 'Ehrenmitglied eines Corps', 'Hochschullehrer (Tierärztliche Hochschule Berlin)', 'Geheimer Regierungsrat', 'Corpsstudent (19. Jahrhundert)', 'Freimaurer (Deutschland)', 'Freimaurer (19. Jahrhundert)', 'Freimaurer (20. Jahrhundert)', 'Träger des Roten Adlerordens 4. Klasse', 'Ehrendoktor der Tierärztlichen Hochschule Hannover', 'Ehrendoktor der Humboldt-Universität zu Berlin', 'Deutscher', 'Geboren 1855', 'Gestorben 1925', 'Mann']"
Beate Schnitter,"['Architekt (Schweiz)', 'Schweizer', 'Geboren 1931', 'Mann']"
August von Schoeler,"['General der Infanterie (Königreich Preußen)', 'Person in den Koalitionskriegen (Preußen)', 'Träger des Pour le Mérite (Militärorden)', 'Träger des Roten Adlerordens 1. Klasse', 'Adliger', 'Deutscher', 'Geboren 1771', 'Gestorben 1855', 'Mann']"
Eduarda Schnitzer,"['Benediktinerin', 'Äbtissin', 'Deutscher', 'Geboren 1862', 'Gestorben 1927', 'Frau']"
Marianne Thalmann,"['Germanist', 'Hochschullehrer (Wien)', 'Person (Cisleithanien)', 'Österreicher', 'Geboren 1888', 'Gestorben 1975', 'Frau']"
Renate Stark-Voit,"['Musikwissenschaftler', 'Absolvent der Universität Wien', 'Mahler-Forscher', 'Deutscher', 'Geboren 1953', 'Frau']"
Alexander Keese,"['Neuzeithistoriker', 'Afrikanist', 'Hochschullehrer (Universität Genf)', 'Deutscher', 'Geboren 1977', 'Mann']"
Dominikus Stark,"['Architekt (München)', 'Mitglied des Bundes Deutscher Architektinnen und Architekten', 'Hochschullehrer (Hochschule München)', 'Deutscher', 'Geboren 1973', 'Mann']"
Angelika Storrer,"['Linguist', 'Hochschullehrer (Justus-Liebig-Universität Gießen)', 'Deutscher', 'Geboren 1964', 'Mann']"
Sönke Schnitzer,"['Theaterschauspieler', 'Theaterregisseur', 'Filmschauspieler', 'Deutscher', 'Geboren 1984', 'Mann']"
Manfred Tietz,"['Romanist', 'Hispanist', 'Literaturwissenschaftler', 'Hochschullehrer (Ruhr-Universität Bochum)', 'Hochschullehrer (Bamberg)', 'Träger des Zivilverdienstordens (Spanien)', 'Deutscher', 'Geboren 1941', 'Mann']"
Pascal Klewer,"['Jazz-Trompeter', 'Flügelhornist', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Mann']"
Erich Dietz (Künstler),"['Maler (DDR)', 'Bildhauer (DDR)', 'DDR-Bürger', 'Deutscher', 'Geboren 1903', 'Gestorben 1990', 'Mann']"
Harald Kiesel,"['Journalist (Deutschland)', 'Autor', 'Kinder- und Jugendliteratur', 'Literatur (Deutsch)', 'Deutscher', 'Geboren 1966', 'Mann']"
Uwe Scheffler,"['Rechtswissenschaftler (20. Jahrhundert)', 'Rechtswissenschaftler (21. Jahrhundert)', 'Hochschullehrer (Europa-Universität Viadrina)', 'Deutscher', 'Geboren 1956', 'Gestorben 2021', 'Mann', 'Rechtswissenschaftler (20. Jahrhundert)']"
Wilhelm Wernicke,"['Deutscher]]; +[[Kategorie:Chronist', 'Chronist', 'Deutscher', 'Geboren 1843', 'Gestorben 1912', 'Mann']"
Otto C. Straub,"['Mediziner (20. Jahrhundert)', 'Tierarzt', 'Agrarwissenschaftler (20. Jahrhundert)', 'Hochschullehrer (Universität Hohenheim)', 'Träger des Bundesverdienstkreuzes 1. Klasse', 'Deutscher', 'Geboren 1930', 'Mann']"
Gottlieb Kiessling,"['Lehrer', 'Schulleiter (Deutschland)', 'Altphilologe (19. Jahrhundert)', 'Übersetzer aus dem Altgriechischen', 'Übersetzer ins Latein', 'Person (Zeitz)', 'Deutscher', 'Geboren 1777', 'Gestorben 1848', 'Mann']"
Karl Dietz (Mediziner),"['Psychiater', 'Mediziner (19. Jahrhundert)', 'Württemberger', 'Deutscher', 'Geboren 1859', 'Gestorben 1904', 'Mann']"
Abraham Starck,"['Orgelbauer', 'Person (Böhmen)', 'Person (Habsburgermonarchie vor 1804)', 'Deutscher', 'Geboren 1659', 'Gestorben 1709', 'Mann']"
Jürgen Bernd von Ramin,"['Richter (Preußen)', 'Person (Stettin)', 'Adliger', 'Preuße', 'Geboren 1714', 'Gestorben 1761', 'Mann']"
Anna Maria Kees,"['Domherr', 'Geboren 1635', 'Gestorben im 17. Jahrhundert', 'Mann']"
Curt Dietz (Geologe),"['Unternehmer (Vereinigte Staaten)', 'Unternehmer (20. Jahrhundert)', 'Deutscher Emigrant in den Vereinigten Staaten', 'Geologe (20. Jahrhundert)', 'Deutscher', 'US-Amerikaner', 'Geboren 1882', 'Gestorben 1965', 'Mann']"
Günter Dallmann,"['Journalist (Deutschland)', 'Journalist (Schweden)', 'Zeitungsjournalist', 'Publizist', 'Autor', 'Literatur (Deutsch)', 'Lyrik', 'Essay', 'Übersetzer ins Deutsche', 'Übersetzer aus dem Schwedischen', 'Sprachlehrer', 'Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus', 'KPD-Mitglied', 'Deutscher', 'Schwede', 'Geboren 1911', 'Gestorben 2009', 'Mann']"
Lukas T. Sperber,"['Filmschauspieler', 'Theaterschauspieler', 'Darstellender Künstler (Hamburg)', 'Darstellender Künstler (Berlin)', 'Synchronsprecher', 'Deutscher', 'Geboren 1995', 'Mann']"
Andreas Schreiner (Schiedsrichter),"['Basketballschiedsrichter (Deutschland)', 'Basketballspieler (USC Heidelberg)', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Mann']"
Karl von Scheffler,"['Kunsthistoriker', 'Deutscher', 'Geboren 1852', 'Gestorben 1925', 'Mann', 'Adliger']"
Helmut A. Müller (Akustiker),"['Lutherischer Geistlicher (20. Jahrhundert)', 'Lutherischer Geistlicher (21. Jahrhundert)', 'Person (Evangelische Landeskirche in Württemberg)', 'Ausstellungskurator', 'Deutscher', 'Geboren 1949', 'Mann']"
Max Hartmann (Politiker),"['Landtagsabgeordneter (Fürstentum Waldeck-Pyrmont)', 'Richter (Amtsgericht)', 'Deutscher', 'Geboren 1874', 'Gestorben 1910', 'Mann', 'Richter (Deutsche Geschichte)']"
Gymnasium Marienwerder,"['Oberstudiendirektor', 'Person (Ostpreußen)', 'Lehrer', 'Historiker', 'Hochschullehrer (Albertus-Universität Königsberg)', 'Hochschullehrer (Universität Hamburg)', 'Herausgeber', 'Mitglied der Historischen Kommission für ost- und westpreußische Landesforschung', 'Ehrenmitglied einer wissenschaftlichen Organisation', 'Träger des Bundesverdienstkreuzes am Bande', 'Deutscher', 'Geboren 1879', 'Gestorben 1957', 'Mann', 'Oberstudiendirektor']"
Thomas Wunderlich (Kapitän),"['Kapitän', 'Deutscher', 'Geboren 1979', 'Mann']"
Joseph Peter Weinmann,"['Zahnarzt', 'Österreichischer Emigrant zur Zeit des Nationalsozialismus', 'Geschichte der Zahnmedizin', 'Mediziner (20. Jahrhundert)', 'Hochschullehrer (Universität Wien)', 'Hochschullehrer (University of Illinois at Chicago)', 'Hochschullehrer (Loyola University Chicago)', 'Österreicher', 'US-Amerikaner', 'Geboren 1896', 'Gestorben 1960', 'Mann']"
Hans-Ulrich Dallmann,"['Evangelischer Theologe (20. Jahrhundert)', 'Evangelischer Theologe (21. Jahrhundert)', 'Hochschullehrer (Hochschule Ludwigshafen am Rhein)', 'Deutscher', 'Geboren 1959', 'Mann']"
Jan Schiffers,"['Landtagsabgeordneter (Bayern)', 'AfD-Mitglied', 'Rechtsanwalt (Deutschland)', 'Deutscher', 'Geboren 1977', 'Mann']"
Gerhard Starke,"['Publizist', 'Person (Die Welt)', 'Intendant des Deutschlandfunks', 'Deutscher', 'Geboren 1916', 'Gestorben 1996', 'Mann']"
Augustin Stark,"['Meteorologe', 'Geschichte der Meteorologie', 'Römisch-katholischer Geistlicher (19. Jahrhundert)', 'Ehrenritter des Verdienstordens vom Heiligen Michael', 'Kommandeur II. Klasse des Großherzoglich Hessischen Ludwigsordens', 'Domherr (Augsburg)', 'Geistlicher Rat', 'Lehrer', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Astronom (19. Jahrhundert)', 'Deutscher', 'Geboren 1771', 'Gestorben 1839', 'Mann']"
Johann Tobias Kießling,"['Kaufmann', 'Pietist', 'Unternehmer (Nürnberg)', 'Protestantismus in Österreich', 'Deutscher', 'Geboren 1742', 'Gestorben 1824', 'Mann']"
Erich Wernicke (Mediziner),"['Immunologe', 'Mikrobiologe', 'Mediziner (19. Jahrhundert)', 'Mediziner (20. Jahrhundert)', 'Freimaurer (19. Jahrhundert)', 'Freimaurer (20. Jahrhundert)', 'Freimaurer (Deutschland)', 'Corpsstudent (19. Jahrhundert)', 'Hochschullehrer (Philipps-Universität Marburg)', 'Hochschullehrer (Posen)', 'Absolvent der Kaiser-Wilhelms-Akademie für das militärärztliche Bildungswesen', 'Geheimer Medizinalrat', 'Deutscher', 'Geboren 1859', 'Gestorben 1928', 'Mann', 'Person (Neumark)']"
George Wilhelm von Sydow,"['Landrat (Landkreis Randow)', 'Sydow (deutsches Adelsgeschlecht)|George Wilhelm', 'Adliger', 'Deutscher', 'Geboren 1699', 'Gestorben 1767', 'Mann']"
Christoph Stark (Politiker),"['Abgeordneter zum Nationalrat (Österreich)', 'Bürgermeister (Gleisdorf)', 'ÖVP-Mitglied', 'Politiker (21. Jahrhundert)', 'Österreicher', 'Geboren 1967', 'Mann']"
Milena Straube,"['Theaterschauspieler', 'Filmschauspieler', 'Deutscher', 'Franzose', 'Geboren 1992', 'Frau']"
Christian Philipp Koehler,"['Jurist', 'Kriegs- und Domänenrat', 'Preußischer Staatsrat', 'Wirklicher Geheimer Rat', 'Person (Stettin)', 'Person (Berlin)', 'Sing-Akademie zu Berlin', 'Deutscher', 'Geboren 1778', 'Gestorben 1842', 'Mann']"
Peter Wernicke,"['Ornithologe', 'Tierfotograf', 'Naturschützer', 'Person (Landkreis Mecklenburgische Seenplatte)', 'DDR-Bürger', 'Deutscher', 'Geboren 1958', 'Gestorben 2017', 'Mann']"
"Ferdinand von Stülpnagel (General, 1781)","['Angehöriger der Russisch-Deutschen Legion', 'Generalleutnant (Königreich Preußen)', 'Militärperson (Russisches Kaiserreich)', 'Person im Kościuszko-Aufstand (Preußen)', 'Person in den Koalitionskriegen (Russisches Kaiserreich)', 'Person in den Koalitionskriegen (Preußen)', 'Träger des Eisernen Kreuzes II. Klasse', 'Träger des Ordens des Heiligen Wladimir', 'Träger des Roten Adlerordens 2. Klasse', 'Träger des Ordens der Heiligen Anna', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Ferdinand', 'Preuße', 'Geboren 1781', 'Gestorben 1839', 'Mann']"
Johann Christoph Funck,"['Brauereiunternehmer', 'Politiker (19. Jahrhundert)', 'Politiker (Bayreuth)', 'Mitglied der Bayerischen Abgeordnetenkammer', 'Deutscher', 'Geboren 1759', 'Gestorben 1839', 'Mann']"
Richard Starcke,"['Bildender Künstler (Weimar)', 'Maler (Deutschland)', 'Radierer (Deutschland)', 'Hochschullehrer (Großherzoglich-Sächsische Kunstschule Weimar)', 'Deutscher', 'Geboren 1864', 'Gestorben 1945', 'Mann']"
Maximilian Jagielski (Verleger),"['Verleger (Berlin)', 'Verleger (19. Jahrhundert)', 'Person (Posen)', 'Pole', 'Geboren 1828', 'Gestorben 1876', 'Mann']"
Jakob Veith,"['Person (Nejdek)', 'Person (Königreich Böhmen)', 'Person (Kaisertum Österreich)', 'Textilunternehmer (19. Jahrhundert)', 'Humanist', 'Geboren 1758', 'Gestorben 1833', 'Mann']"
Nikolaus Müller-Schöll,"['Theaterwissenschaftler', 'Hochschullehrer (Goethe-Universität Frankfurt am Main)', 'Hochschullehrer (Universität Hamburg)', 'Deutscher', 'Geboren 1964', 'Mann']"
Jutta Keeß,"['Absolvent der Hochschule für Musik und Theater München', 'Jazz-Tubist', 'Deutscher', 'Geboren 1987', 'Frau', 'Absolvent der Hochschule für Musik und Theater München']"
Georg Veith (Maschinenbauingenieur),"['Althistoriker', 'Herpetologe', 'Militärperson (Österreich-Ungarn)', 'Österreicher', 'Geboren 1875', 'Gestorben 1925', 'Mann']"
Michael Dietz (Journalist),"['Hörfunkmoderator', 'Fernsehmoderator (Deutschland)', 'Journalist (Deutschland)', 'Sachbuchautor', 'Person (Saarländischer Rundfunk)', 'Person (Westdeutscher Rundfunk)', 'Person (Grünstadt)', 'Deutscher', 'Geboren 1976', 'Mann']"
Johann Karl Spener,"['Buchhändler', 'Verleger (19. Jahrhundert)', 'Verleger (18. Jahrhundert)', 'Geboren 1749', 'Gestorben 1827', 'Verleger (Berlin)', 'Mann', 'Deutscher']"
Reinhard Müller (Komponist),"['Arrangeur', 'Komponist (Deutschland)', 'Geboren 1898', 'Gestorben 1991', 'Mann', 'Deutscher']"
Josef August Stark,"['Maler (Österreich)', 'Historienmaler', 'Kunstpädagoge', 'Person (Graz)', 'Person (Habsburgermonarchie vor 1804)', 'Person (Kaisertum Österreich)', 'Geboren 1782', 'Gestorben 1838', 'Mann']"
Ingo Scheuermann,"['Wirtschaftswissenschaftler', 'Wirtschaftsmathematiker', 'Deutscher', 'Geboren 1969', 'Mann']"
Vroni Straub-Müller,"['Kantonsrat (Zug)]] umbenannt in [[Kategorie:Kantonsrat (Zug, Person)]]: laut [[Wikipedia Diskussion:WikiProjekt Politik#Kategorien zu Schweizer Kantonsparlamentariern', 'Kantonsrat (Zug, Person)', 'Kommunalpolitiker (Kanton Zug)', 'CSP-Mitglied', 'Schweizer', 'Geboren 1963', 'Frau']"
Holger Kiesel,"['Journalist (Deutschland)', 'Kabarettist (Deutschland)', 'Hörfunkmoderator', 'SPD-Mitglied', 'Deutscher', 'Geboren 1974', 'Mann']"
"Josef Böhm (Kirchenmusiker, 1841)","['Komponist (Kirchenmusik)', 'Organist (Kirchenmusik)', 'Person des Christentums (Wien)', 'Person (Stift Heiligenkreuz)', 'Person (Cisleithanien)', 'Österreicher', 'Geboren 1875', 'Gestorben 1964', 'Mann']"
Christine Wernicke,"['Landtagsabgeordneter (Brandenburg)', 'BVB/Freie-Wähler-Mitglied', 'Politiker (21. Jahrhundert)', 'Deutscher', 'DDR-Bürger', 'Geboren 1960', 'Frau', 'Bürgermeister (Brandenburg)']"
Hans Straub (Bauingenieur),"['Bauingenieur', 'Technikhistoriker', 'Schweizer', 'Person (Kanton Thurgau)', 'Geboren 1895', 'Gestorben 1962', 'Mann']"
Bernhard Schnetzer,"['Maler (Deutschland)', 'Deutscher', 'Geboren 1937', 'Gestorben 2013', 'Argenbühl', 'Mann', 'Person (Wangen im Allgäu)']"
Heinrich August Schoeller (Industrieller),"['Industrieller (Düren)', 'Papierfabrikant', 'Unternehmer (20. Jahrhundert)', 'Unternehmer (21. Jahrhundert)', 'Mitglied der Unternehmerfamilie Schoeller|Heinrich August', 'Träger des Bundesverdienstkreuzes 1. Klasse', 'Deutscher', 'Geboren 1923', 'Gestorben 2021', 'Mann']"
Dagmar Mettler,"['Filmschauspieler', 'BZÖ-Mitglied', 'Österreicher', 'Geboren 1964', 'Frau']"
Heinrich Stark (Jurist),"['Richter (Bundessozialgericht)', 'Deutscher', 'Mann', 'Geboren 1928']"
Emil Wilhelm Stark,"['Rechtswissenschaftler (20. Jahrhundert)', 'Hochschullehrer (Universität Zürich)', 'Schweizer', 'Geboren 1920', 'Gestorben 2006', 'Mann']"
Wolfram Starke (Fußballspieler),"['Fußballspieler (DDR)', 'Deutscher', 'DDR-Bürger', 'Geboren 1922', 'Gestorben 2011', 'Mann']"
Catherine Kern,"['Bündnis-90/Die-Grünen-Mitglied', 'Landtagsabgeordneter (Baden-Württemberg)', 'Politiker (21. Jahrhundert)', 'Deutscher', 'Frau', 'Geboren 1961']"
Carl von Massow,"['Landrat (Landkreis Randow)', 'Familienmitglied des Adelsgeschlechts Massow|Carl', 'Person im Siebenjährigen Krieg (Preußen)', 'Adliger', 'Deutscher', 'Geboren 1735', 'Gestorben 1807', 'Mann']"
Eduard Ichon (Unternehmer),"['Unternehmer (19. Jahrhundert)', 'Person (Bremen)', 'Deutscher', 'Geboren 1811', 'Gestorben 1890', 'Mann']"
August von Weber,"['Generalleutnant (Königreich Preußen)', 'Person im Deutschen Krieg', 'Person im Deutsch-Französischen Krieg', 'Träger des Eisernen Kreuzes I. Klasse', 'Träger des Roten Adlerordens 2. Klasse', 'Nobilitierter (Preußen)', 'Preuße', 'Geboren 1824', 'Gestorben 1888', 'Mann']"
Paul Scheffler,"['NDPD-Funktionär', 'NSDAP-Mitglied', 'Politiker (DDR)', 'Träger des Vaterländischen Verdienstordens in Bronze', 'Deutscher', 'Geboren 1907', 'Gestorben im 20. oder 21. Jahrhundert', 'Mann']"
Carsten Stark,"['Soziologe', 'Hochschullehrer (Hof, Saale)', 'Deutscher', 'Geboren 1966', 'Mann']"
Julius Wernicke,"['Bürgermeister (Toruń)', 'Geboren 1763', 'Gestorben 1832', 'Mann']"
Margarete Tietz,"['Person der sozialen Arbeit', 'Mäzen', 'Ehepartner einer berühmten Person', 'Person des Judentums (Köln)', 'Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus', 'Deutscher Emigrant in den Vereinigten Staaten', 'Person, für die in Köln ein Stolperstein verlegt wurde', 'Deutscher', 'US-Amerikaner', 'Geboren 1887', 'Gestorben 1972', 'Frau']"
Franz Scheubel,"['Hochschullehrer (Technische Universität Darmstadt)', 'Person (Heilbad Heiligenstadt)', 'Deutscher', 'Geboren 1899', 'Gestorben 1976', 'Mann']"
Hans Stark (Politiker),"['Mitglied des Bayerischen Senats', 'Tischler', 'Träger des Bundesverdienstkreuzes am Bande', 'Träger des Bayerischen Verdienstordens', 'Deutscher', 'Geboren 1950', 'Mann']"
Georg Sperber (Förster),"['Forstwissenschaftler', 'Forstbeamter (Bayern)', 'Sachbuchautor (Jagd)', 'Naturschützer', 'Lehrer', 'Person (Nürnberg)', 'Deutscher', 'Geboren 1933', 'Mann']"
Lukas Schweighofer (Moderator),"['Hörfunkmoderator', 'Person (ORF)', 'Absolvent der Universität Salzburg', 'Österreicher', 'Geboren 1986', 'Mann']"
Milva Stark,"['Theaterschauspieler', 'Poetry Slam', 'Deutscher', 'Schweizer', 'Geboren 1982', 'Frau']"
August Weber (General),"['Generalmajor (Königreich Preußen)', 'Kavallerist (Preußen)', 'Person in den Koalitionskriegen (Preußen)', 'Träger des Roten Adlerordens 3. Klasse', 'Träger des Ordens der Heiligen Anna', 'Preuße', 'Geboren 1795', 'Gestorben 1873', 'Mann']"
Kurt Broschek,"['Verleger (Deutschland)', 'Deutscher', 'Geboren 1884', 'Gestorben 1946', 'Mann']"
Otto Zykan,"['Komponist (Österreich)', 'Gitarrist', 'Österreicher', 'Geboren 1902', 'Gestorben 1989', 'Mann']"
Georg Ilsung,"['Reichspfennigmeister', 'Geboren im 16. Jahrhundert', 'Gestorben 1580', 'Mann']"
Werner Tietz,"['Hochschullehrer (Universität zu Köln)', 'Hochschullehrer (Ludwig-Maximilians-Universität München)', 'Althistoriker', 'Deutscher', 'Geboren 1970', 'Mann']"
Günther Stark (Intendant),"['Theaterschauspieler', 'Theaterregisseur', 'Theaterintendant', 'Dramaturg', 'Deutscher', 'Geboren 1889', 'Gestorben 1970', 'Mann']"
"Julius Hübner (Maler, 1841)","['Maler (Düsseldorf)', 'Maler (Düsseldorfer Malerschule)', 'Genremaler', 'Porträtmaler', 'Deutscher', 'Geboren 1841', 'Gestorben 1874', 'Mann']"
Johann Christian Friedrich Dietz,"['Geboren 1765', 'Gestorben 1833', 'Mann', 'Lutherischer Geistlicher (19. Jahrhundert)', 'Pädagoge (18. Jahrhundert)', 'Person (Ratzeburg)', 'Person (Güstrow)', 'Kantianer', 'Autor', 'Pädagoge (19. Jahrhundert)', 'Absolvent der Georg-August-Universität Göttingen', 'Person des Christentums (Mecklenburg)']"
Hans-Ulrich Schnitzler,"['Neurobiologe', 'Hochschullehrer (Eberhard Karls Universität Tübingen)', 'Deutscher', 'Geboren 1939', 'Mann']"
Andreas Schreiner (Autor),"['Autor', 'Österreicher', 'Geboren 1965', 'Mann']"
Ursula Klenk,"['Romanist', 'Linguist', 'Hochschullehrer (Georg-August-Universität Göttingen)', 'Deutscher', 'Geboren 1943', 'Frau']"
Monika Leisch-Kiesl,"['Hochschullehrer (Katholische Privat-Universität Linz)', 'Kunsthistoriker', 'Träger des Goldenen Verdienstzeichens des Landes Oberösterreich', 'Österreicher', 'Geboren 1960', 'Frau']"
Hermann von Stülpnagel,"['Generalleutnant (Königreich Preußen)', 'Person in den Koalitionskriegen (Preußen)', 'Träger des Eisernen Kreuzes II. Klasse', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Karl Bernhard', 'Preuße', 'Geboren 1794', 'Gestorben 1875', 'Mann']"
Walter Gyssling,"['Mitglied im Reichsbanner', 'SPD-Mitglied', 'SP-Mitglied (Schweiz)', 'Journalist (Schweiz)', 'Zeitungsjournalist', 'Deutscher', 'Schweizer', 'Geboren 1903', 'Gestorben 1980', 'Mann']"
Paul Kießling,"['Maler (Deutschland)', 'Historienmaler', 'Genremaler', 'Deutscher', 'Geboren 1836', 'Gestorben 1919', 'Mann']"
Sina Kießling,"['Filmschauspieler', 'Theaterschauspieler', 'DDR-Bürger', 'Deutscher', 'Geboren 1979', 'Frau']"
Jan Schiffer (Politiker),"['Politiker (Deutschland)', 'Die-Linke-Mitglied', 'Deutscher', 'Geboren 2000', 'Mann']"
"Franz Fischer (Bildhauer, 1900)","['Bildhauer (Schweiz)', 'Schweizer', 'Geboren 1900', 'Gestorben 1980', 'Mann']"
August Wernecke,"['Generalmajor (Königreich Preußen)', 'Träger des Roten Adlerordens 3. Klasse', 'Infanterist (Preußen)', 'Preuße', 'Geboren 1801', 'Gestorben 1872', 'Mann']"
Nikolaus Müller-Lantzsch,"['Virologe', 'Hochschullehrer (Albert-Ludwigs-Universität Freiburg)', 'Hochschullehrer (Homburg)', 'Träger des Ordre des Palmes Académiques (Ritter)', 'Deutscher', 'Geboren 1943', 'Gestorben 2017', 'Mann']"
Gerhard Schiffner,"['Grafiker (DDR)', 'Grafiker (Deutschland)', 'Maler (Deutschland)', 'Maler (DDR)', 'DDR-Bürger', 'Deutscher', 'Geboren 1905', 'Gestorben 1975', 'Mann']"
Horst Wernecke,"['Autor', 'Literatur (Niederdeutsch)', 'Literatur (20. Jahrhundert)', 'Deutscher', 'Geboren 1933', 'Mann']"
Friedrich von Starck,"['Generalmajor', 'Militärperson (Hessen)', 'Mitglied der kurhessischen Ständeversammlung', 'Adliger', 'Deutscher', 'Geboren 1790', 'Gestorben 1864', 'Mann']"
Bernhard Dietz,"['Neuzeithistoriker', 'Sachbuchautor', 'Herausgeber', 'SPD-Mitglied', 'Deutscher', 'Geboren 1975', 'Mann']"
Roland Stark,"['Grossrat (Basel-Stadt)', 'Parteipräsident (Schweiz)', 'Politiker (21. Jahrhundert)', 'Politiker (20. Jahrhundert)', 'SP-Mitglied (Schweiz)', 'Kolumnist', 'Schweizer', 'Geboren 1951', 'Mann']"
Ruth Kisch-Arndt,"['Kardiologe', 'Mediziner (20. Jahrhundert)', 'Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus', 'Deutscher', 'Person (Österreich-Ungarn)', 'Geboren 1890', 'Gestorben 1966', 'Mann']"
Ipke Starke,"['Sexualwissenschaftler', 'Autor', 'Hochschullehrer (Leipzig)', 'Deutscher', 'DDR-Bürger', 'Geboren 1938', 'Mann']"
Carl Schreiner (Schauspieler),"['Stummfilmschauspieler', 'Theaterschauspieler', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1869', 'Gestorben 1931', 'Mann']"
Ingeborg Schiffner,"['Darstellender Künstler (DDR)', 'DDR-Bürger', 'Deutscher', 'Geboren 1924', 'Gestorben 2012', 'Frau']"
Gabriel Rosenbach,"['Jazz-Gitarrist', 'Komponist (Jazz)', 'Bigband-Leader', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Mann']"
"Stefan Körner (Politiker, 1977)","['Parteivorsitzender von Bündnis 90/Die Grünen Niedersachsen', 'Politiker (Hannover)', 'Geboren 1977', 'Deutscher', 'Mann']"
Michaela Kis,"['Synchronsprecher', 'Theaterschauspieler', 'Filmschauspieler', 'Darstellender Künstler (Wien)', 'Österreicher', 'Geboren 1982', 'Frau']"
Karl Bernhard von Stülpnagel,"['Generalleutnant (Königreich Preußen)', 'Person in den Koalitionskriegen (Preußen)', 'Träger des Eisernen Kreuzes II. Klasse', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Karl Bernhard', 'Preuße', 'Geboren 1794', 'Gestorben 1875', 'Mann']"
