Subject,Predicate,Object,Wikipedia-URL,Unnamed: 4
Haus Fürsteneck,Präsident,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Auszeichnung,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Fläche (m2),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl der Parkplätze,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Breite (μ),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Bezirk,östlichen Altstadt,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl an Geschäften,1,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Klassifikation,historisches Gebäude,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Koch,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,bekannt für,Ein Baudenkmal Altfrankfurts,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Bevölkerungsdichte (/sqkm),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Einwohnerzahl,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Postleitzahl,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,politischer Führer,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Fläche (km2),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Bevölkerungsdichte (/sqkm),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Kurator,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Tragsystem,Holzfachwerk,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Ingenieur,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Durchmesser (μ),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,benannt nach,Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Slogan,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Sendergruppe,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Kette,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Kapazität,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl gebaut,1,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Gewicht (g),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Hersteller,Christian Steffen,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Gewicht (kg),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Urheber,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Format,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Enddatum des Gebäudes,1362,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Baubeginn,1362,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Stockwerkanzahl,vierten,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,architektonischer Stil,Louis-seize,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,NRHP-Referenznummer,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Grundfläche (m2),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl Suiten,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Grundfläche (m2),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Kleiderordnung,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Zugehörigkeit,Schreinermeisterfamilie Beydemüller,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,NRHP-Typ,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,aktuelle Produktion,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Abrissdatum,1944,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Einsendeschluss,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Datum des Abbruchs,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,derzeit verwendet für,Wohnbau,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,aufgelöst,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Unterteilung,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Vernichtungsdatum,1944,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,LCCN-ID,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Besucherzahl ab as,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Umbaudatum,18. Jahrhundert,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,IMDB-ID,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,iucn-Kategorie,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Pastor,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Weinbergkirche (Dresden),Standort,Dresden-Pillnitz,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Sammlung,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Adresse,Pillnitz,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),alternativer Name,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl Betten,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Kosten ($),2000 Talern,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Küche,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),früherer Name,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Gründungsdatum,1723,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Höhe (μ),"31, 10 Meter",https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Eröffnungsdatum,12. November 1995,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),1995-11-12 00:00:00
Weinbergkirche (Dresden),Eröffnungsjahr,1723,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),ursprünglicher Namen,Neue Schlosskirhce,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Sitzplatzkapazität,450 bis 500,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Status,unter Denkmalschutz,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Architekt,Matthäus Daniel Pöppelmann,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Stadt,Dresden,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Land,Deutschland,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Genre,Gotteshaus,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Eigentümer,Freistaat Sachsen,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Mieter,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Typ,Kirche,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Fläche (m2),20 mal 10 Meter,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Baujahr,1723,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),nächstgelegene Stadt,Dresden,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),bild,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Region,Dresden,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Staat,Freistaates Sachsen,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Besucherzahl,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Verwaltungsgremium,Evangelisch-Lutherische Landeskirche Sachsen,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Code,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Schließungsjahr,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl der Restaurants,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl der Zimmer,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Betreiber,staatliche Domänenverwaltung,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Baumeister,Matthäus Daniel Pöppelmann,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Entwickler,Matthäus Daniel Pöppelmann,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Küchenchef,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Sprache,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Wertung,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Material,Sandstein,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Wiedereröffnungdatum,11. November 1725,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),11. November 1725
Weinbergkirche (Dresden),Reservierungen,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Aufzüge,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),regisseur,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Präsident,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Auszeichnung,Silbernen Halbkugel des Deutschen Preises für Denkmalschutz ausgezeichnet,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Fläche (m2),20 mal 10 Meter,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl der Parkplätze,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Breite (μ),"21, 8",https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Bezirk,Pillnitz,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl an Geschäften,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Klassifikation,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Koch,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),bekannt für,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Bevölkerungsdichte (/sqkm),,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Einwohnerzahl,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Postleitzahl,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),politischer Führer,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Fläche (km2),20 mal 10 Meter,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Bevölkerungsdichte (/sqkm),M/A,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Kurator,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Tragsystem,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Ingenieur,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Durchmesser (μ),,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),benannt nach,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Slogan,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Sendergruppe,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Kette,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Kapazität,450 bis 500,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl gebaut,1,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Gewicht (g),,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Hersteller,Matthäus Daniel Pöppelmann,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Gewicht (kg),,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Urheber,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Format,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Enddatum des Gebäudes,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Baubeginn,24. Juni 1723,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),24. Juni 1723
Weinbergkirche (Dresden),Stockwerkanzahl,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),architektonischer Stil,barocke,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),NRHP-Referenznummer,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Grundfläche (m2),20 mal 10 Meter,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Anzahl Suiten,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Grundfläche (m2),20 mal 10 Meter,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Kleiderordnung,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Zugehörigkeit,Kulturlandschaft Dresdner Elbtal,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),NRHP-Typ,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),aktuelle Produktion,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Abrissdatum,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Einsendeschluss,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Datum des Abbruchs,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),derzeit verwendet für,"Hochzeiten, Konzerte und Ausstellungen",https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),aufgelöst,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Unterteilung,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Vernichtungsdatum,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),LCCN-ID,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Besucherzahl ab as,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Umbaudatum,1852 bis 1853,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),IMDB-ID,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),iucn-Kategorie,,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Weinbergkirche (Dresden),Pastor,Johann Christoph Rüdinger,https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden),
Fadenwurminfektionen des Hundes,Komplikationen,Bauchbeschwerden und Lebervergrößerung,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,medizinisches Fachgebiet,Tiermedizin,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,DiseasesDB,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,ICD9,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,ORPHA,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Synonym,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,medizinische Diagnose,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Symptome,Bauchbeschwerden und Lebervergrößerung,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,medizinische Ursache,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Medikation,Breitbandanthelminthika,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Behandlung,regelmäßige Wurmkuren,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Differentialdiagnose,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,bild,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,GARDName,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,GARDNum,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,AO,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,alternativer Name,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Klasse,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,NORD,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Name,Fadenwurminfektion des Hundes,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,eMedizin-Fach,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Thema eMedizin,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,MeSH-ID,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Bestätigte Fälle,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,geneReviewsId,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,geneReviewsName,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,ICD10,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,MedlinePlus,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,OMIM-ID,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Todesfälle,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,ICDO,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,alias,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,CAS-Nummer,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,ChEBI,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,ChEMBL,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
Fadenwurminfektionen des Hundes,Arzneimittelbank,,https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes,
