Subject;Predicate;Object;Wikipedia-URL;;;;;
Haus Fürsteneck;Schließungsjahr;1944;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl der Restaurants;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl der Zimmer;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Betreiber;Bund tätiger Altstadtfreunde;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Baumeister;Christian Steffen;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Entwickler;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Küchenchef;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Sprache;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Wertung;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Material;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Wiedereröffnungdatum;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Reservierungen;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Aufzüge;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;regisseur;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Präsident;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Auszeichnung;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Fläche (m2);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl der Parkplätze;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Breite (μ);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Bezirk;östlichen Altstadt;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl an Geschäften;1;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Klassifikation;historisches Gebäude;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Koch;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;bekannt für;Ein Baudenkmal Altfrankfurts;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Bevölkerungsdichte (/sqkm);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Einwohnerzahl;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Postleitzahl;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;politischer Führer;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Fläche (km2);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Bevölkerungsdichte (/sqkm);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Kurator;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Tragsystem;Holzfachwerk;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Ingenieur;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Durchmesser (μ);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;benannt nach;Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Slogan;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Sendergruppe;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Kette;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Kapazität;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl gebaut;1;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Gewicht (g);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Hersteller;Christian Steffen;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Gewicht (kg);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Urheber;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Format;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Enddatum des Gebäudes;1362;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Baubeginn;1362;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Stockwerkanzahl;vierten;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;architektonischer Stil;Louis-seize;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;NRHP-Referenznummer;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Grundfläche (m2);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl Suiten;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Grundfläche (m2);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Kleiderordnung;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Zugehörigkeit;Schreinermeisterfamilie Beydemüller;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;NRHP-Typ;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;aktuelle Produktion;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Abrissdatum;1944;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Einsendeschluss;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Datum des Abbruchs;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;derzeit verwendet für;Wohnbau;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;aufgelöst;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Unterteilung;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Vernichtungsdatum;1944;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;LCCN-ID;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Besucherzahl ab as;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Umbaudatum;18. Jahrhundert;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;IMDB-ID;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;iucn-Kategorie;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Pastor;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Weinbergkirche (Dresden);Standort;Dresden-Pillnitz;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Sammlung;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Adresse;Pillnitz;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);alternativer Name;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl Betten;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Kosten ($);2000 Talern;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Küche;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);früherer Name;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Gründungsdatum;1723;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Höhe (μ);31, 10 Meter;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Eröffnungsdatum;12. November 1995;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);12. November 1995;;;;
Weinbergkirche (Dresden);Eröffnungsjahr;1723;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);ursprünglicher Namen;Neue Schlosskirhce;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Sitzplatzkapazität;450 bis 500;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Status;unter Denkmalschutz;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Architekt;Matthäus Daniel Pöppelmann;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Stadt;Dresden;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Land;Deutschland;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Genre;Gotteshaus;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Eigentümer;Freistaat Sachsen;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Mieter;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Typ;Kirche;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Fläche (m2);20 mal 10 Meter;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Baujahr;1723;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);nächstgelegene Stadt;Dresden;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);bild;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Region;Dresden;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Staat;Freistaates Sachsen;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Besucherzahl;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Verwaltungsgremium;Evangelisch-Lutherische Landeskirche Sachsen;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Code;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Schließungsjahr;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl der Restaurants;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl der Zimmer;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Betreiber;staatliche Domänenverwaltung;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Baumeister;Matthäus Daniel Pöppelmann;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Entwickler;Matthäus Daniel Pöppelmann;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Küchenchef;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Sprache;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Wertung;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Material;Sandstein;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Wiedereröffnungdatum;11. November 1725;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);11. November 1725;;;;
Weinbergkirche (Dresden);Reservierungen;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Aufzüge;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);regisseur;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Präsident;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Auszeichnung;Silbernen Halbkugel des Deutschen Preises für Denkmalschutz ausgezeichnet;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Fläche (m2);20 mal 10 Meter;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl der Parkplätze;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Breite (μ);21, 8;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Bezirk;Pillnitz;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl an Geschäften;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Klassifikation;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Koch;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);bekannt für;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Bevölkerungsdichte (/sqkm);N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Einwohnerzahl;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Postleitzahl;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);politischer Führer;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Fläche (km2);20 mal 10 Meter;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Bevölkerungsdichte (/sqkm);M/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Kurator;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Tragsystem;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Ingenieur;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Durchmesser (μ);N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);benannt nach;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Slogan;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Sendergruppe;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Kette;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Kapazität;450 bis 500;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl gebaut;1;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Gewicht (g);N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Hersteller;Matthäus Daniel Pöppelmann;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Gewicht (kg);N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Urheber;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Format;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Enddatum des Gebäudes;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Baubeginn;24. Juni 1723;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);24. Juni 1723;;;;
Weinbergkirche (Dresden);Stockwerkanzahl;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);architektonischer Stil;barocke;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);NRHP-Referenznummer;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Grundfläche (m2);20 mal 10 Meter;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Anzahl Suiten;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Grundfläche (m2);20 mal 10 Meter;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Kleiderordnung;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Zugehörigkeit;Kulturlandschaft Dresdner Elbtal;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);NRHP-Typ;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);aktuelle Produktion;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Abrissdatum;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Einsendeschluss;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Datum des Abbruchs;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);derzeit verwendet für;Hochzeiten, Konzerte und Ausstellungen;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);aufgelöst;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Unterteilung;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Vernichtungsdatum;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);LCCN-ID;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Besucherzahl ab as;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Umbaudatum;1852 bis 1853;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);IMDB-ID;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);iucn-Kategorie;N/A;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Weinbergkirche (Dresden);Pastor;Johann Christoph Rüdinger;https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden);;;;;
Fadenwurminfektionen des Hundes;Komplikationen;Bauchbeschwerden und Lebervergrößerung;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;medizinisches Fachgebiet;Tiermedizin;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;DiseasesDB;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;ICD9;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;ORPHA;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;Synonym;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;medizinische Diagnose;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;Symptome;Bauchbeschwerden und Lebervergrößerung;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;medizinische Ursache;;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;Medikation;Breitbandanthelminthika;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;Behandlung;regelmäßige Wurmkuren;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;Differentialdiagnose;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;bild;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;GARDName;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;GARDNum;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
Fadenwurminfektionen des Hundes;AO;N/A;https://de.wikipedia.org/wiki/Fadenwurminfektionen_des_Hundes;;;;;
